EmployeeID,Tenure,RoleHistory,Promotions,LastPromotionYearsAgo,PastPerformance,SkillRelevance,TrainingParticipation,EventActivity,FeedbackScore,SentimentScore,TeamAttritionRate,ManagerAttrition,ProjectType,LocationChanges,Feedback360,RoleChanges,WorkLifeBalance,LeavePattern,RecognitionCount,AwardsReceived,AttritionLabel,ExitReason,ManagerDialogue,EmployeeResponse
EID770487,5,Engineer,1,2,1.2,0.9,3,4,4,0.6,0.2,0,Standard,0,4,0,3,1,2,0,0,None,Great work on the recent project! Let's discuss your career goals and how we can support your growth here.,I appreciate that! I'm interested in learning more about project management opportunities.
EID216739,12,Manager,3,3,1.5,0.8,5,2,5,0.2,0.3,0,Client-facing,1,4,1,2,1.5,3,1,1,Better Offer,We value your contributions greatly. How about a salary increase of 15% and a promotion to Senior Manager?,"I appreciate the offer, but I've accepted a role with a significant increase in responsibility and compensation elsewhere."
EID126225,2,Analyst,0,2,0.8,0.7,1,1,3,-0.3,0.1,0,R&D,0,3,0,4,0.7,0,0,0,None,Your analysis skills are improving. Let's focus on developing your presentation skills in the next quarter.,"Okay, I'm willing to improve in any areas that will help me perform better."
EID877572,8,Engineer,2,1,1.4,0.9,4,3,5,0.7,0.25,0,Standard,0,5,1,3,0.8,4,1,0,None,Excellent work on the system upgrade! Let's discuss expanding your leadership role within the team.,That's great to hear! I am very interested in exploring leadership opportunities.
EID388389,3,Consultant,0,3,0.7,0.6,2,0,2,-0.5,0.3,1,Client-facing,1,2,1,2,1.8,1,0,1,Work-Life Balance,We understand you're facing challenges. How about flexible work hours and a reduced workload to improve your work-life balance?,"I appreciate the offer, but the pressure and demands of this project are consistently affecting my health. I need to prioritize myself."
EID356787,15,Director,4,4,1.6,0.95,6,5,5,0.4,0.15,0,R&D,0,5,2,3,0.6,5,2,0,None,Your leadership is invaluable. Let's discuss your vision for the future of our department and how we can implement it.,I am thrilled to hear this. I believe we should invest more in emerging technologies.
EID334053,6,Analyst,1,1,1.1,0.85,3,2,4,0.3,0.2,0,Standard,0,4,1,3,1.2,2,0,0,None,Your data insights are becoming more valuable. Let's enroll you in an advanced analytics course to further enhance your skills.,That sounds great! I am eager to expand my expertise in data analysis.
EID246316,9,Engineer,2,3,1.3,0.9,4,3,4,0.1,0.4,1,Client-facing,1,3,0,2,1.6,3,1,1,Manager Issue,We are addressing the team leadership concerns immediately. We will provide you with a new manager known for mentorship and positive leadership.,"I appreciate the attempt, but my confidence in the company's management has been shaken."
EID872246,4,Consultant,0,4,0.9,0.75,2,1,3,-0.2,0.35,0,R&D,0,3,0,4,0.9,1,0,0,None,You're showing potential as a consultant. Let's focus on developing your client relationship skills through shadowing experienced consultants.,That sounds like a good plan. I need to become more comfortable interacting with clients.
EID207473,1,Engineer,0,1,0.6,0.65,0,0,2,-0.4,0.1,0,Standard,0,2,0,3,1.9,0,0,1,Career Growth,We recognize your desire for growth. How about we put you on a faster track to a project lead role with additional training?,"While I appreciate the gesture, I've received an offer that allows me to immediately step into a project lead position."
EID809570,7,Manager,2,2,1.4,0.8,3,2,4,0.5,0.2,0,Client-facing,0,4,1,3,1.1,3,1,0,None,Your team leadership is having a great impact. Let's see if we can add some challenging assignments to your portfolio.,I am definitely up for a challenge. I would love to contribute more strategically.
EID876646,10,Analyst,2,3,1.5,0.9,4,3,5,0.3,0.25,0,R&D,0,5,1,3,0.8,4,2,0,None,Your analytical contributions are consistently insightful. I'm promoting you to Senior Analyst.,That's fantastic news! I'm excited to take on new challenges.
EID671858,3,Engineer,0,3,0.8,0.7,2,1,3,-0.1,0.15,0,Standard,0,3,0,3,1.3,1,0,0,None,We appreciate your engineering skills. Let's get you started on some advanced training programs.,I am happy to further my skill set.
EID191161,14,Director,3,5,1.5,0.95,5,4,5,0.2,0.3,1,Client-facing,1,4,2,2,1.7,3,1,1,Personal,We value your leadership and understand personal needs. How about a sabbatical to recharge and return with a renewed perspective?,"Thank you, but I've decided to prioritize my personal health and family at this time."
EID719176,5,Consultant,1,2,1.1,0.8,3,2,4,0.4,0.2,0,R&D,0,4,0,3,1,2,0,0,None,We appreciate your client-facing skills. Let's aim for some challenging project assignments.,I feel ready to contribute more.
EID542417,3,Analyst,0,3,0.8,0.7,2,3,3,-0.2,0.2,0,Standard,0,3,0,3,1.1,1,0,0,None,Your work has been consistently good. Focus on improving data interpretation skills.," ""Thank you. I'm eager to learn more about advanced analytics."""
EID133326,7,Engineer,1,4,1.2,0.9,5,5,4,0.3,0.1,0,R&D,1,4,1,4,0.8,3,1,0,None,Your technical skills are exceptional. Let's discuss leadership opportunities.," ""I'm interested in exploring team leadership roles."""
EID131244,1,Consultant,0,1,0.6,0.6,1,1,2,-0.5,0.3,1,Client-facing,0,2,0,2,1.8,0,0,1,Work-Life Balance,We value you; let's explore a more flexible schedule with fewer client visits.," ""Thank you for the offer  but I need to prioritize personal needs. I need a complete break to prevent burnout."""
EID198246,10,Manager,2,2,1.5,0.8,7,6,5,0.6,0.2,0,Standard,2,5,2,3,0.7,5,2,0,None,You're a valuable asset to the team. Let's aim for director role next year," ""I appreciate the acknowledgment. I'm dedicated to contributing to the company's growth."""
EID329258,5,Analyst,1,2,1.1,0.7,4,4,4,0.1,0.4,0,Client-facing,0,3,1,2,1.3,2,0,1,Better Offer,We can increase your salary by 10% and provide additional benefits.," ""Thank you  but I've received a better offer with greater growth potential and a more challenging environment."""
EID343962,2,Engineer,0,2,0.7,0.8,3,2,3,-0.1,0.1,0,R&D,0,3,0,4,1.2,1,0,0,None,Focus on improving collaboration skills and proactively contribute to projects.," ""I understand. I'll make an effort to communicate more effectively with my team."""
EID629903,8,Manager,2,3,1.4,0.9,6,7,5,0.5,0.3,1,Client-facing,1,4,2,2,0.9,4,1,1,Manager Issue,We recognize your contributions. We will assign a new mentor to support and guide you through this difficult transition.," ""While I appreciate the effort  my decision is based on the previous manager's toxic environment that has already taken its toll."""
EID731262,4,Consultant,0,4,0.9,0.7,2,3,3,0,0.2,0,Standard,0,3,0,3,1,2,0,0,None,Your client feedback is positive. Continue developing your presentation skills.," ""Thank you. I'm working on improving my communication style."""
EID127824,12,Director,3,4,1.6,0.9,8,8,5,0.7,0.1,0,R&D,2,5,3,4,0.6,6,3,0,None,Your leadership is invaluable. Let's discuss strategies for expanding our R&D capabilities.," ""I'm committed to driving innovation and ensuring our continued success."""
EID688508,6,Analyst,1,3,1,0.6,3,5,3,0.2,0.3,0,Standard,1,4,1,3,1.4,3,0,0,None,Your analytical skills are developing well. Consider pursuing specialized training.," ""I'm interested in learning more about data modeling techniques."""
EID308496,9,Engineer,2,1,1.3,0.8,7,6,4,0.4,0.2,1,Client-facing,0,4,2,3,0.8,4,1,1,Career Growth,We value your expertise. We can fast-track you to a senior engineering role and expose you to new projects.," ""Thank you for the offer  but I need a change in environment. I want to use my skills in a completely different industry."""
EID850800,3,Consultant,0,3,0.8,0.9,2,2,3,-0.3,0.2,0,R&D,0,3,0,2,1.3,1,0,0,None,Focus on building rapport with clients and developing strong relationships.," ""I'm working on improving my interpersonal skills."""
